InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,,,,
560203,21985,PACK OF 12 HEARTS DESIGN TISSUES ,2,15/07/2011 13:13,0.29,15311,,,,
559836,21390,FILIGRIS HEART WITH BUTTERFLY,24,13/07/2011 10:09,1.25,13911,,,,
559536,22197,POPCORN HOLDER,15,10/07/2011 12:17,0.85,16283,,,,
559323,21291,SMALL POLKADOT CHOCOLATE GIFT BAG ,48,07/07/2011 14:55,0.85,12971,,,,
558970,23085,ANTIQUE SILVER BAUBLE LAMP  ,2,05/07/2011 11:10,10.4,18232,,,,
558538,21042,RED RETROSPOT APRON ,1,30/06/2011 12:12,5.95,15005,,,,
558442,23255,CHILDRENS CUTLERY CIRCUS PARADE,1,29/06/2011 13:10,4.15,15537,,,,
558096,23301,GARDENERS KNEELING PAD KEEP CALM ,1,26/06/2011 13:24,1.65,15532,,,,
557956,85099B,JUMBO BAG RED RETROSPOT,1,23/06/2011 19:20,2.08,18283,,,,
557783,23337,EGG FRYING PAN MINT ,1,22/06/2011 15:43,2.08,12748,,,,
557639,22557,PLASTERS IN TIN VINTAGE PAISLEY ,3,21/06/2011 16:13,1.65,12933,,,,
557525,22993,SET OF 4 PANTRY JELLY MOULDS,12,21/06/2011 09:26,1.25,12759,,,,
557263,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,96,19/06/2011 11:08,2.55,14646,,,,
557007,22569,FELTCRAFT CUSHION BUTTERFLY,6,16/06/2011 11:30,3.75,12484,,,,
556905,84596F,SMALL MARSHMALLOWS PINK BOWL,1,15/06/2011 13:05,0.42,16904,,,,
556876,21215,IVORY PAPER CUP CAKE CASES ,1,15/06/2011 11:56,0.55,16241,,,,
556797,22629,SPACEBOY LUNCH BOX ,12,14/06/2011 14:49,1.95,17101,,,,
556413,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,2,10/06/2011 12:01,3.25,16005,,,,
556241,22423,REGENCY CAKESTAND 3 TIER,2,09/06/2011 16:04,12.75,12597,,,,
556056,22917,HERB MARKER ROSEMARY,1,08/06/2011 13:35,0.65,17841,,,,
555638,22776,SWEETHEART CAKESTAND 3 TIER,1,06/06/2011 12:51,9.95,15150,,,,
554628,82486,WOOD S/3 CABINET ANT WHITE FINISH,1,25/05/2011 11:26,8.95,15039,,,,
554181,22678,FRENCH BLUE METAL DOOR SIGN 3,10,23/05/2011 12:09,1.25,13078,,,,
553710,84828,JUNGLE POPSICLES ICE LOLLY MOULDS,3,18/05/2011 15:35,1.25,17338,,,,
553571,21564,PINK  HEART SHAPE LOVE BUCKET ,1,18/05/2011 09:35,2.95,17287,,,,
553390,35648,VINTAGE BEAD PINK PURSE ,2,16/05/2011 16:41,0.83,17841,,,,
552694,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,10/05/2011 15:25,8.5,12749,,,,
552188,21238,RED RETROSPOT CUP,8,06/05/2011 14:01,0.85,12394,,,,
552061,47590A,BLUE HAPPY BIRTHDAY BUNTING,6,06/05/2011 10:43,5.45,13001,,,,
551994,21314,SMALL GLASS HEART TRINKET POT,8,05/05/2011 15:42,2.1,12868,,,,
551656,22524,CHILDRENS GARDEN GLOVES BLUE,10,03/05/2011 12:10,1.25,14911,,,,
551281,20723,STRAWBERRY CHARLOTTE BAG,10,27/04/2011 13:31,0.85,13571,,,,
551171,21067,VINTAGE RED TEATIME MUG,1,26/04/2011 16:45,1.25,13263,,,,
550777,16161P,WRAP ENGLISH ROSE ,25,20/04/2011 13:35,0.42,16558,,,,
550327,23199,JUMBO BAG APPLES,10,17/04/2011 13:07,2.08,12878,,,,
550327,20752,BLUE POLKADOT WASHING UP GLOVES,6,17/04/2011 13:07,2.1,12878,,,,
550126,22993,SET OF 4 PANTRY JELLY MOULDS,12,14/04/2011 12:43,1.25,12853,,,,
550000,21755,LOVE BUILDING BLOCK WORD,3,14/04/2011 09:18,5.95,17058,,,,
549984,22492,MINI PAINT SET VINTAGE ,36,13/04/2011 15:57,0.65,15147,,,,
549953,22305,COFFEE MUG PINK PAISLEY DESIGN,12,13/04/2011 13:15,2.55,12766,,,,
548739,72803A,ROSE SCENT CANDLE JEWELLED DRAWER,2,04/04/2011 11:28,4.25,15493,,,,
548728,21544,SKULLS  WATER TRANSFER TATTOOS ,12,04/04/2011 09:55,0.85,13198,,,,
548493,22178,VICTORIAN GLASS HANGING T-LIGHT,96,31/03/2011 13:14,1.06,16839,,,,
548400,22740,POLKADOT PEN,4,30/03/2011 17:33,0.85,17400,,,,
548198,22852,DOG BOWL VINTAGE CREAM,3,29/03/2011 16:05,4.25,16712,,,,
547550,22487,WHITE WOOD GARDEN PLANT LADDER,8,23/03/2011 15:41,8.5,16839,,,,
547520,21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,4,23/03/2011 14:55,4.95,12564,,,,
547494,23049,RECYCLED ACAPULCO MAT RED,4,23/03/2011 12:08,8.25,18191,,,,
547203,21668,RED STRIPE CERAMIC DRAWER KNOB,12,21/03/2011 13:51,1.25,17146,,,,
547063,22289,HANGING METAL CHICKEN DECORATION,3,20/03/2011 13:33,1.25,14769,,,,
546866,22284,HEN HOUSE DECORATION,2,17/03/2011 15:47,1.65,14462,,,,
546684,21035,SET/2 RED RETROSPOT TEA TOWELS ,24,16/03/2011 09:47,3.25,16152,,,,
546543,22602,RETROSPOT WOODEN HEART DECORATION,1,14/03/2011 15:40,0.85,17841,,,,
546438,22191,IVORY DINER WALL CLOCK,12,14/03/2011 09:59,7.65,15125,,,,
545945,22727,ALARM CLOCK BAKELIKE RED ,2,08/03/2011 12:07,3.75,16710,,,,
545871,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3,07/03/2011 14:51,3.75,17092,,,,
545721,22424,ENAMEL BREAD BIN CREAM,2,07/03/2011 10:52,12.75,15039,,,,
545691,16156S,WRAP PINK FAIRY CAKES ,25,06/03/2011 12:52,0.42,14161,,,,
545685,20724,RED RETROSPOT CHARLOTTE BAG,1,06/03/2011 11:55,0.85,14499,,,,
545345,22072,RED RETROSPOT TEA CUP AND SAUCER ,4,02/03/2011 09:33,3.75,14180,,,,
544996,22553,PLASTERS IN TIN SKULLS,12,25/02/2011 11:53,1.65,12474,,,,
544813,22113,GREY HEART HOT WATER BOTTLE,4,23/02/2011 16:23,3.75,15984,,,,
544467,22156,HEART DECORATION WITH PEARLS ,2,20/02/2011 15:51,0.85,14502,,,,
544459,22721,SET OF 3 CAKE TINS SKETCHBOOK,6,20/02/2011 13:52,4.95,17838,,,,
544336,85186A,EASTER BUNNY GARLAND OF FLOWERS,24,17/02/2011 19:36,0.42,13230,,,,
544051,85039B,S/4 IVORY MINI ROSE CANDLE IN BOWL,12,15/02/2011 12:40,1.65,16700,,,,
543658,21212,PACK OF 72 RETROSPOT CAKE CASES,120,11/02/2011 10:38,0.42,13819,,,,
543370,22624,IVORY KITCHEN SCALES,2,07/02/2011 14:51,8.5,12359,,,,
543370,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,07/02/2011 14:51,4.95,12359,,,,
542717,22261,FELT EGG COSY WHITE RABBIT ,2,31/01/2011 14:07,0.85,17580,,2,0.85,1.7
542607,22624,IVORY KITCHEN SCALES,2,30/01/2011 13:48,8.5,13148,,2,8.5,17
542254,85066,CREAM SWEETHEART MINI CHEST,4,26/01/2011 16:41,12.75,14733,,4,12.75,51
541504,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,1,18/01/2011 15:37,3.75,14415,,1,3.75,3.75
541293,79321,CHILLI LIGHTS,24,17/01/2011 13:39,4.25,15311,,24,4.25,102
541279,22728,ALARM CLOCK BAKELIKE PINK,4,17/01/2011 11:55,3.75,18223,,4,3.75,15
540526,22270,HAPPY EASTER HANGING DECORATION,1,09/01/2011 13:41,3.75,14606,,1,3.75,
