InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
540546,11001,ASSTD DESIGN RACING CAR PEN,16,09/01/2011 15:56,1.69,12766
540543,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,09/01/2011 15:23,5.95,14395
555519,21544,SKULLS  WATER TRANSFER TATTOOS ,60,05/06/2011 11:02,0.85,16682
557442,23084,RABBIT NIGHT LIGHT,4,20/06/2011 12:53,2.08,14808
551158,21469,POLKA DOT RAFFIA FOOD COVER,2,26/04/2011 15:00,3.75,16823
552894,22416,SET OF 36 DOILIES SPACEBOY DESIGN ,1,12/05/2011 10:53,1.45,14606
543535,22927,GREEN GIANT GARDEN THERMOMETER,1,09/02/2011 13:37,5.95,17537
551003,21845,DAIRY MAID STRIPE MUG,6,26/04/2011 09:44,0.79,16456
561915,23032,DRAWER KNOB CRACKLE GLAZE IVORY,2,01/08/2011 11:23,1.65,14408
542903,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,48,01/02/2011 14:46,0.85,15107
546990,22071,SMALL WHITE RETROSPOT MUG IN BOX ,6,18/03/2011 12:59,3.75,14315
560579,21908,CHOCOLATE THIS WAY METAL SIGN,2,19/07/2011 15:13,2.1,15867
556845,22354,RETROSPOT PADDED SEAT CUSHION,30,15/06/2011 11:30,3.39,17511
542226,22558,CLOTHES PEGS RETROSPOT PACK 24 ,4,26/01/2011 13:20,1.49,17075
546013,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,08/03/2011 16:38,2.95,16495
561615,84879,ASSORTED COLOUR BIRD ORNAMENT,16,28/07/2011 12:57,1.69,13319
554059,23133,LARGE IVORY HEART WALL ORGANISER,2,20/05/2011 16:25,8.25,14388
546635,84592,CROCHET ROSE PURSE WITH SUEDE BACK,2,15/03/2011 12:11,2.95,16392
543288,22970,LONDON BUS COFFEE MUG,6,07/02/2011 10:14,2.55,17302
553886,23132,SMALL IVORY HEART WALL ORGANISER,6,19/05/2011 15:53,5.75,15648
550124,22139,RETROSPOT TEA SET CERAMIC 11 PC ,6,14/04/2011 12:41,4.95,12853
541794,21249,WOODLAND  HEIGHT CHART STICKERS ,2,21/01/2011 13:21,2.95,17238
561485,22685,FRENCH BLUE METAL DOOR SIGN 0,1,27/07/2011 13:42,1.25,17841
559909,22505,MEMO BOARD COTTAGE DESIGN,4,13/07/2011 14:28,4.95,18245
550768,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,2,20/04/2011 12:44,4.25,15039
564962,23273,HEART T-LIGHT HOLDER WILLIE WINKIE,2,31/08/2011 14:35,1.65,17777
560299,23092,LARGE ANTIQUE WHITE PHOTO FRAME,12,18/07/2011 10:28,6.65,17593
563074,21481,FAWN BLUE HOT WATER BOTTLE,60,11/08/2011 15:58,2.55,12931
556474,82482,WOODEN PICTURE FRAME WHITE FINISH,2,12/06/2011 12:01,2.55,16007
555524,22697,GREEN REGENCY TEACUP AND SAUCER,1,05/06/2011 11:37,2.95,16923
556484,22084,PAPER CHAIN KIT EMPIRE,2,12/06/2011 13:17,2.95,16938
541225,21985,PACK OF 12 HEARTS DESIGN TISSUES ,48,14/01/2011 14:47,0.29,14099
558099,23060,HEART BEADED TRELLIS DECORATION,12,26/06/2011 13:45,2.08,17593
545323,22844,VINTAGE CREAM DOG FOOD CONTAINER,4,01/03/2011 14:57,8.5,12352
564165,48185,DOORMAT FAIRY CAKE,1,23/08/2011 13:35,7.95,13593
550138,22979,PANTRY WASHING UP BRUSH,1,14/04/2011 14:02,1.45,12841
545906,21561,DINOSAUR LUNCH BOX WITH CUTLERY,6,08/03/2011 09:23,2.55,15764
547380,22417,PACK OF 60 SPACEBOY CAKE CASES,6,22/03/2011 15:20,0.55,16809
548612,21790,VINTAGE SNAP CARDS,1,01/04/2011 11:34,0.85,13137
547383,21250,SET OF SKULL WALL STICKERS,6,22/03/2011 15:42,2.95,12613
555854,21775,DECORATIVE FLORE BATHROOM BOTTLE,1,07/06/2011 13:47,1.25,12748
544055,84879,ASSORTED COLOUR BIRD ORNAMENT,40,15/02/2011 12:48,1.69,14035
542519,22729,ALARM CLOCK BAKELIKE ORANGE,8,28/01/2011 12:19,3.75,15159
561797,22149,FELTCRAFT 6 FLOWER FRIENDS,6,29/07/2011 13:37,2.1,13178
557793,22222,CAKE PLATE LOVEBIRD WHITE,1,22/06/2011 17:30,4.95,14998
556056,23241,TREASURE TIN GYMKHANA DESIGN,2,08/06/2011 13:35,2.08,17841
545377,22201,FRYING PAN BLUE POLKADOT,1,02/03/2011 11:32,4.25,14606
558574,23188,VINTAGE  2 METER FOLDING RULER,12,30/06/2011 14:48,1.65,17017
544077,22250,DECORATION  BUTTERFLY  MAGIC GARDEN,3,15/02/2011 15:04,0.85,14825
540268,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,06/01/2011 11:25,2.55,13458
540537,20778,GARDEN PATH NOTEBOOK ,3,09/01/2011 14:28,1.65,13565
549787,22066,LOVE HEART TRINKET POT,2,12/04/2011 11:58,0.39,13268
560385,79190B,RETRO PLASTIC POLKA TRAY,1,18/07/2011 12:53,0.42,14583
560224,21754,HOME BUILDING BLOCK WORD,2,15/07/2011 16:06,5.95,14572
541985,21985,PACK OF 12 HEARTS DESIGN TISSUES ,12,24/01/2011 15:52,0.29,15052
545166,22113,GREY HEART HOT WATER BOTTLE,1,28/02/2011 14:03,3.75,17027
555835,22839,3 TIER CAKE TIN GREEN AND CREAM,2,07/06/2011 12:34,14.95,14525
547654,22684,FRENCH BLUE METAL DOOR SIGN 9,1,24/03/2011 12:32,1.25,14527
553002,85152,HAND OVER THE CHOCOLATE   SIGN ,3,12/05/2011 15:26,2.1,13263
558098,23284,DOORMAT KEEP CALM AND COME IN,2,26/06/2011 13:31,7.95,18044
561658,82600,NO SINGING METAL SIGN,1,28/07/2011 16:06,2.1,12743
557292,23203,JUMBO BAG DOILEY PATTERNS,10,19/06/2011 13:06,2.08,17562
553178,20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,1,15/05/2011 11:29,1.25,17302
561882,84949,SILVER HANGING T-LIGHT HOLDER,12,31/07/2011 12:52,1.65,13388
550480,22523,CHILDS GARDEN FORK PINK,4,18/04/2011 14:05,0.85,13069
564034,71459,HANGING JAM JAR T-LIGHT HOLDER,12,22/08/2011 12:22,0.85,12935
553552,23200,JUMBO BAG PEARS,10,17/05/2011 16:23,2.08,17702
564638,23285,PINK VINTAGE SPOT BEAKER,8,26/08/2011 12:54,0.85,13812
554123,72741,GRAND CHOCOLATECANDLE,9,22/05/2011 15:44,1.45,16818
540179,22470,HEART OF WICKER LARGE,4,05/01/2011 12:54,2.95,16033
564053,16161P,WRAP ENGLISH ROSE ,25,22/08/2011 13:42,0.42,14188
540247,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9,05/01/2011 15:56,2.55,15464
548984,22077,6 RIBBONS RUSTIC CHARM,4,05/04/2011 12:37,1.65,14546
558622,21755,LOVE BUILDING BLOCK WORD,6,30/06/2011 16:51,5.95,16357
550183,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,14/04/2011 17:58,2.95,14105
542724,21947,SET OF 6 HEART CHOPSTICKS,24,31/01/2011 14:59,1.25,16779
559552,22068,BLACK PIRATE TREASURE CHEST,2,10/07/2011 16:29,1.65,16014
553221,23084,RABBIT NIGHT LIGHT,6,16/05/2011 09:58,2.08,16607
555853,21272,SALLE DE BAIN HOOK,1,07/06/2011 13:44,1.25,14375
541965,21249,WOODLAND  HEIGHT CHART STICKERS ,12,24/01/2011 13:27,2.95,12625
549128,22522,CHILDS GARDEN FORK BLUE ,3,06/04/2011 14:25,0.85,16713
543281,84378,SET OF 3 HEART COOKIE CUTTERS,5,06/02/2011 15:34,1.25,14606
559124,84806B,WHITE CANDYSTUFT ARTIFICIAL FLOWER,24,06/07/2011 12:31,1.45,14621
550459,37333,"RETRO ""TEA FOR ONE"" ",1,18/04/2011 13:17,1.95,18116
546305,23050,RECYCLED ACAPULCO MAT GREEN,1,10/03/2011 16:16,8.25,14056
545759,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6,07/03/2011 11:56,2.1,16316
561902,23296,SET OF 6 TEA TIME BAKING CASES,128,31/07/2011 15:50,1.25,17404
558441,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1,29/06/2011 12:59,8.5,14606
544688,22262,FELT EGG COSY CHICKEN,12,23/02/2011 08:29,0.85,18151
548014,22841,ROUND CAKE TIN VINTAGE GREEN,2,29/03/2011 11:29,7.95,17719
545224,47590A,BLUE HAPPY BIRTHDAY BUNTING,3,01/03/2011 09:03,5.45,17068
562173,23085,ANTIQUE SILVER BAUBLE LAMP  ,3,03/08/2011 12:12,10.4,14530
554075,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,12,22/05/2011 11:29,1.45,16038
558336,22960,JAM MAKING SET WITH JARS,12,28/06/2011 13:17,3.75,14364
560937,22634,CHILDS BREAKFAST SET SPACEBOY ,1,22/07/2011 10:52,9.95,17920
540834,21324,HANGING MEDINA LANTERN SMALL,4,11/01/2011 14:50,2.95,14733
550364,23255,CHILDRENS CUTLERY CIRCUS PARADE,4,18/04/2011 11:29,4.15,16713
548011,22849,BREAD BIN DINER STYLE MINT,12,29/03/2011 11:14,14.95,14646
563569,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,17/08/2011 14:47,3.75,18257
552825,23199,JUMBO BAG APPLES,10,11/05/2011 13:18,2.08,15296
549589,22697,GREEN REGENCY TEACUP AND SAUCER,6,11/04/2011 10:04,2.95,16552
553892,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,19/05/2011 16:56,2.95,14825
555521,21754,HOME BUILDING BLOCK WORD,3,05/06/2011 11:21,5.95,13576
565417,20983,12 PENCILS TALL TUBE RED RETROSPOT,24,04/09/2011 12:04,0.85,15738
561688,22846,BREAD BIN DINER STYLE RED ,4,29/07/2011 08:48,14.95,14407
563351,22681,FRENCH BLUE METAL DOOR SIGN 6,20,15/08/2011 14:17,1.25,16902
553566,23112,PARISIENNE CURIO CABINET,2,18/05/2011 09:09,7.5,12690
564200,22809,SET OF 6 T-LIGHTS SANTA,1,23/08/2011 17:37,2.95,18018
547063,22675,FRENCH KITCHEN SIGN BLUE METAL,2,20/03/2011 13:33,1.25,14769
559525,84596F,SMALL MARSHMALLOWS PINK BOWL,8,10/07/2011 10:30,0.42,16923
544571,22807,SET OF 6 T-LIGHTS TOADSTOOLS,6,21/02/2011 13:07,2.95,15146
545023,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,25/02/2011 14:25,0.85,12921
555368,84879,ASSORTED COLOUR BIRD ORNAMENT,8,02/06/2011 14:30,1.69,13437
564559,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,26/08/2011 09:37,5.95,15811
545901,21038,SET/4 MODERN VINTAGE COTTON NAPKINS,4,07/03/2011 17:52,0.79,15834
540099,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,04/01/2011 16:41,1.25,15808
557019,84946,ANTIQUE SILVER T-LIGHT GLASS,6,16/06/2011 12:45,1.25,15907
555835,22821,GIFT BAG PSYCHEDELIC APPLES,12,07/06/2011 12:34,0.65,14525
553052,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,48,13/05/2011 10:14,1.45,15251
544177,21989,PACK OF 20 SKULL PAPER NAPKINS,9,16/02/2011 14:27,0.85,13001
557525,22993,SET OF 4 PANTRY JELLY MOULDS,12,21/06/2011 09:26,1.25,12759
561627,22325,MOBILE VINTAGE HEARTS ,3,28/07/2011 14:08,4.95,12453
546685,22854,CREAM SWEETHEART EGG HOLDER,4,16/03/2011 09:52,4.95,15687
560125,20725,LUNCH BAG RED RETROSPOT,1,15/07/2011 10:44,1.65,18118
550911,22899,CHILDREN'S APRON DOLLY GIRL ,6,21/04/2011 13:11,2.1,12354
559745,23321,SMALL WHITE HEART OF WICKER,8,12/07/2011 11:15,1.65,17790
552217,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,06/05/2011 15:13,2.55,18170
551305,21096,SET/6 FRUIT SALAD  PAPER PLATES,24,27/04/2011 14:58,0.39,16145
561650,23129,HEART SHAPED HOLLY WREATH,4,28/07/2011 15:31,4.15,15329
553863,22432,WATERING CAN PINK BUNNY,6,19/05/2011 14:05,1.95,13418
543111,22383,LUNCH BAG SUKI  DESIGN ,3,03/02/2011 12:44,1.65,15719
555350,47013C,WINE BOTTLE DRESSING DARK BLUE,12,02/06/2011 12:08,0.12,17652
564729,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,5,28/08/2011 12:44,0.85,13137
541139,22961,JAM MAKING SET PRINTED,12,14/01/2011 11:05,1.45,15213
561203,47563A,RETRO LONGBOARD IRONING BOARD COVER,12,25/07/2011 15:17,1.25,14232
560580,22960,JAM MAKING SET WITH JARS,30,19/07/2011 15:23,3.75,14088
547666,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,24/03/2011 13:23,2.95,14235
550331,82482,WOODEN PICTURE FRAME WHITE FINISH,4,17/04/2011 13:43,2.55,15555
561645,22945,CHRISTMAS METAL TAGS ASSORTED ,144,28/07/2011 15:16,0.72,14911
557468,22331,WOODLAND PARTY BAG + STICKER SET,2,20/06/2011 13:14,1.65,16713
546498,48111,DOORMAT 3 SMILEY CATS,1,14/03/2011 11:44,7.95,15493
564727,22047,EMPIRE GIFT WRAP,25,28/08/2011 12:31,0.42,16686
546117,22261,FELT EGG COSY WHITE RABBIT ,6,09/03/2011 13:56,0.85,16771
559878,22697,GREEN REGENCY TEACUP AND SAUCER,2,13/07/2011 11:19,2.95,15493
556905,84596F,SMALL MARSHMALLOWS PINK BOWL,1,15/06/2011 13:05,0.42,16904
565471,22950,36 DOILIES VINTAGE CHRISTMAS,12,05/09/2011 10:12,1.45,13931
550967,22228,BUNNY WOODEN PAINTED WITH BIRD ,12,21/04/2011 16:58,0.85,12971
562912,22476,EMPIRE UNION JACK TV DINNER TRAY,1,10/08/2011 13:15,4.95,15311
563510,23313,VINTAGE CHRISTMAS BUNTING,50,17/08/2011 10:50,4.15,15734
543170,22029,SPACEBOY BIRTHDAY CARD,24,04/02/2011 09:03,0.42,17334
561106,22139,RETROSPOT TEA SET CERAMIC 11 PC ,6,25/07/2011 11:37,4.95,14246
543518,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,100,09/02/2011 11:21,0.72,12753
555855,71270,PHOTO CLIP LINE,1,07/06/2011 13:56,1.25,15311
547921,84879,ASSORTED COLOUR BIRD ORNAMENT,16,28/03/2011 13:28,1.69,14766
554992,22550,HOLIDAY FUN LUDO,1,29/05/2011 14:08,3.75,16686
544472,22797,CHEST OF DRAWERS GINGHAM HEART ,1,21/02/2011 09:09,16.95,15129
551887,22659,LUNCH BOX I LOVE LONDON,12,05/05/2011 09:29,1.95,12593
559811,23202,JUMBO BAG VINTAGE LEAF,10,12/07/2011 15:22,2.08,13269
554920,22906,12 MESSAGE CARDS WITH ENVELOPES,12,27/05/2011 12:41,1.65,16275
541970,22491,PACK OF 12 COLOURED PENCILS,144,24/01/2011 13:48,0.72,15179
553386,21212,PACK OF 72 RETROSPOT CAKE CASES,24,16/05/2011 16:22,0.55,13381
549966,22534,MAGIC DRAWING SLATE SPACEBOY ,24,13/04/2011 14:17,0.42,16224
557636,23322,LARGE WHITE HEART OF WICKER,1,21/06/2011 15:41,2.95,17841
546435,47599B,BLUE PARTY BAGS ,6,14/03/2011 09:37,2.1,15671
563854,POST,POSTAGE,3,19/08/2011 15:24,15,12364
552883,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,100,12/05/2011 10:13,0.72,14646
548507,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,3,31/03/2011 14:47,2.95,13573
554509,21746,SMALL RED RETROSPOT WINDMILL,1,24/05/2011 15:45,1.25,17375
545748,22979,PANTRY WASHING UP BRUSH,72,07/03/2011 11:52,1.25,17381
557222,22624,IVORY KITCHEN SCALES,6,17/06/2011 13:14,8.5,14936
552277,22602,RETROSPOT WOODEN HEART DECORATION,1,08/05/2011 12:34,0.85,13642
564554,22983,CARD BILLBOARD FONT,12,25/08/2011 19:39,0.42,17189
559317,22375,AIRLINE BAG VINTAGE JET SET BROWN,1,07/07/2011 14:03,4.25,17611
547055,21034,REX CASH+CARRY JUMBO SHOPPER,2,20/03/2011 12:14,0.95,16444
562928,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,6,10/08/2011 15:29,1.25,15494
555159,22919,HERB MARKER MINT,12,01/06/2011 09:06,0.65,15124
550459,84378,SET OF 3 HEART COOKIE CUTTERS,1,18/04/2011 13:17,1.25,18116
555855,20724,RED RETROSPOT CHARLOTTE BAG,100,07/06/2011 13:56,0.72,15311
560051,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,12,14/07/2011 15:22,1.45,15306
551874,21380,WOODEN HAPPY BIRTHDAY GARLAND,6,05/05/2011 07:37,2.95,16422
564078,21239,PINK  POLKADOT CUP,12,22/08/2011 15:43,0.85,17083
552851,23170,REGENCY TEA PLATE ROSES ,48,11/05/2011 15:07,1.45,12731
540595,22610,PENS ASSORTED FUNNY FACE,36,10/01/2011 11:35,0.21,14321
545851,21389,IVORY HANGING DECORATION  BIRD,3,07/03/2011 13:45,0.85,15026
543800,21078,SET/20 STRAWBERRY PAPER NAPKINS ,2,13/02/2011 11:36,0.85,17282
552061,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,06/05/2011 10:43,2.08,13001
563924,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,3,21/08/2011 14:32,0.55,15984
557289,21175,GIN + TONIC DIET METAL SIGN,1,19/06/2011 12:58,2.55,16880
561627,22452,MEASURING TAPE BABUSHKA PINK,6,28/07/2011 14:08,2.95,12453
554283,22384,LUNCH BAG PINK POLKADOT,10,23/05/2011 14:11,1.65,17686
560238,23035,DRAWER KNOB CERAMIC IVORY,12,17/07/2011 11:41,1.45,17725
544909,22610,PENS ASSORTED FUNNY FACE,144,24/02/2011 14:32,0.21,14298
546250,21981,PACK OF 12 WOODLAND TISSUES ,24,10/03/2011 14:14,0.29,14350
553039,22090,PAPER BUNTING RETROSPOT,80,13/05/2011 08:21,2.55,16422
545314,20676,RED RETROSPOT BOWL,8,01/03/2011 14:11,1.25,12866
544664,22230,JIGSAW TREE WITH WATERING CAN,12,22/02/2011 14:55,0.85,16045
557628,21556,CERAMIC STRAWBERRY MONEY BOX,1,21/06/2011 14:31,2.55,15311
544295,82600,NO SINGING METAL SIGN,12,17/02/2011 12:43,1.85,14298
556784,23108,SET OF 10 LED DOLLY LIGHTS,3,14/06/2011 13:15,6.25,14461
556502,22927,GREEN GIANT GARDEN THERMOMETER,2,13/06/2011 08:43,5.95,13761
545518,85099F,JUMBO BAG STRAWBERRY,10,03/03/2011 12:24,1.95,18218
552282,23003,TRAVEL CARD WALLET VINTAGE ROSE ,8,08/05/2011 12:44,0.42,14040
542373,21680,WOODLAND  STICKERS,24,27/01/2011 13:38,0.85,16767
562214,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,03/08/2011 13:39,3.75,17731
541593,21671,RED SPOT CERAMIC DRAWER KNOB,6,19/01/2011 15:20,1.25,17611
547273,22149,FELTCRAFT 6 FLOWER FRIENDS,3,22/03/2011 11:05,2.1,14530
560989,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,4,22/07/2011 13:20,8.5,15704
555724,23112,PARISIENNE CURIO CABINET,2,06/06/2011 16:22,7.5,15737
548712,84510C,SET OF 4 POLKADOT COASTERS,1,03/04/2011 14:42,1.25,17050
560102,23020,GLASS  SONGBIRD STORAGE JAR,1,14/07/2011 18:28,12.5,13994
555348,21485,RETROSPOT HEART HOT WATER BOTTLE,1,02/06/2011 12:06,4.95,15184
547046,21395,BLUE POLKADOT BEAKER ,48,20/03/2011 11:43,0.39,13725
550331,22230,JIGSAW TREE WITH WATERING CAN,1,17/04/2011 13:43,0.85,15555
559472,15058A,BLUE POLKADOT GARDEN PARASOL,1,08/07/2011 13:39,7.95,18037
556484,23179,CLOCK MAGNET MUM'S KITCHEN,2,12/06/2011 13:17,2.89,16938
547500,82600,NO SINGING METAL SIGN,12,23/03/2011 12:39,2.1,13408
540253,21524,DOORMAT SPOTTY HOME SWEET HOME,30,05/01/2011 16:28,6.75,13225
557136,22191,IVORY DINER WALL CLOCK,2,17/06/2011 09:23,8.5,14911
563925,23234,BISCUIT TIN VINTAGE CHRISTMAS,1,21/08/2011 14:42,2.89,13610
563448,22035,VINTAGE CARAVAN GREETING CARD ,12,16/08/2011 14:28,0.42,15220
541711,84378,SET OF 3 HEART COOKIE CUTTERS,12,21/01/2011 11:18,1.25,14646
547358,48129,DOORMAT TOPIARY,2,22/03/2011 12:25,7.95,15998
544678,84912A,PINK ROSE WASHBAG,2,22/02/2011 16:15,3.75,13077
557626,16161P,WRAP ENGLISH ROSE ,25,21/06/2011 14:29,0.42,14175
551270,22716,CARD CIRCUS PARADE,12,27/04/2011 12:35,0.42,15891
563538,22384,LUNCH BAG PINK POLKADOT,3,17/08/2011 11:48,1.65,17841
560711,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,1,20/07/2011 12:58,1.69,17841
559746,21621,VINTAGE UNION JACK BUNTING,1,12/07/2011 11:16,8.5,16515
557066,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,6,16/06/2011 15:10,4.25,17463
547030,22567,20 DOLLY PEGS RETROSPOT,12,20/03/2011 10:17,1.25,12948
542433,22550,HOLIDAY FUN LUDO,4,28/01/2011 10:45,3.75,12726
549300,21533,RETROSPOT LARGE MILK JUG,3,08/04/2011 08:21,4.95,13362
542870,21498,RED RETROSPOT WRAP ,25,01/02/2011 12:29,0.42,15203
565835,22093,MOTORING TISSUE BOX,2,07/09/2011 11:32,0.39,14452
563540,20679,EDWARDIAN PARASOL RED,3,17/08/2011 12:04,5.95,12473
559641,22649,STRAWBERRY FAIRY CAKE TEAPOT,1,11/07/2011 12:31,4.95,13184
559549,84596F,SMALL MARSHMALLOWS PINK BOWL,3,10/07/2011 15:25,0.42,13230
544330,21407,BROWN CHECK CAT DOORSTOP ,1,17/02/2011 16:59,4.25,17576
564727,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,1,28/08/2011 12:31,1.25,16686
564740,23002,TRAVEL CARD WALLET SKULLS,4,28/08/2011 14:39,0.42,14044
544673,21385,IVORY HANGING DECORATION  HEART,12,22/02/2011 15:46,0.85,13421
552872,21670,BLUE SPOT CERAMIC DRAWER KNOB,24,12/05/2011 09:09,1.25,16985
542237,22375,AIRLINE BAG VINTAGE JET SET BROWN,4,26/01/2011 14:30,4.25,12347
557292,23205,CHARLOTTE BAG VINTAGE ALPHABET ,10,19/06/2011 13:06,0.85,17562
